Abdul Buhari,Great Britain,30,192,125,M,6/26/1982,Athletics,Men's Discus Throw,,,,
Abigail Edmonds,Great Britain,21,172,70,F,9/26/1990,Canoe Sprint,Women's Kayak Single (K1) 500m; Women's Kayak Double (K2) 500m,,,,
Abigail Walker,Great Britain,30,175,72,F,1/29/1982,Hockey,Women's Hockey,,,,
Adam Brown,Great Britain,23,196,95,M,1/16/1989,Swimming,Men's 50m Freestyle; Men's 100m Freestyle,,,,
Adam Gemili,Great Britain,18,,,M,10/06/1993,Athletics,Men's 100m; Men's 4 x 100m Relay,,,,
Adam Johnson,Great Britain,25,178,63,M,7/14/1987,Football,Men's Football,,,,
Adam Scholefield,Great Britain,27,189,99,M,5/24/1985,Water Polo,Men's Water Polo,,,,
Aimee Willmott,Great Britain,19,172,56,F,2/26/1993,Swimming,Women's 400m Individual Medley,,,,
Alan Campbell,Great Britain,29,191,96,M,05/09/1983,Rowing,Men's Single Sculls,YES,,,1
Alan Wills,Great Britain,31,179,84,M,08/03/1981,Archery,Men's Individual; Men's Team,,,,
Alastair Wilson,Great Britain,28,187,84,M,12/19/1983,Hockey,Men's Hockey,,,,
Alex Danson,Great Britain,27,171,56,F,5/21/1985,Hockey,Women's Hockey,,,,
Alex Gregory,Great Britain,28,198,98,M,03/11/1984,Rowing,Men's Four,YES,0.25,,
Alex McCarthy,Great Britain,22,193,88,M,12/03/1989,Football,Men's Football,,,,
Alex Parsonage,Great Britain,27,180,87,M,4/30/1985,Water Polo,Men's Water Polo,,,,
Alex Partridge,Great Britain,31,193,93,M,1/25/1981,Rowing,Men's Eight,YES,,,0.111
Alex Rutlidge,Great Britain,23,170,62,F,11/12/1988,Water Polo,Women's Water Polo,,,,
Alex Scott,Great Britain,27,163,59,F,10/14/1984,Football,Women's Football,,,,
Alexander Smith,Great Britain,24,183,115,M,03/06/1988,Athletics,Men's Hammer Throw,,,,
Alicia Blagg,Great Britain,15,167,60,F,10/21/1996,Diving,Women's Synchronised 3m Springboard,,,,
Alison Williamson,Great Britain,40,175,75,F,11/03/1971,Archery,Women's Individual; Women's Team,,,,
Alison Young,Great Britain,25,181,67,F,5/29/1987,Sailing,Women's Laser Radial,,,,
Alistair Brownlee,Great Britain,24,185,70,M,4/23/1988,Triathlon,Men's Triathlon,YES,1,,
Amy Oliver,Great Britain,25,173,62,F,07/10/1987,Archery,Women's Individual; Women's Team,,,,
Amy Smith,Great Britain,25,172,59,F,7/24/1987,Swimming,Women's 50m Freestyle; Women's 100m Freestyle; Women's 4x100m Freestyle Relay; Women's 4x100m Medley Relay,,,,
Andrew Baddeley,Great Britain,30,188,69,M,6/20/1982,Athletics,Men's 1500m,,,,
Andrew Baggaley,Great Britain,29,180,71,M,2/26/1983,Table Tennis,Men's Team,,,,
Andrew Lawrence,Great Britain,22,188,87,M,06/04/1990,Basketball,Men's Basketball,,,,
Andrew Osagie,Great Britain,24,189,72,M,2/19/1988,Athletics,Men's 800m,,,,
Andrew Pozzi,Great Britain,20,190,78,M,5/15/1992,Athletics,Men's 110m Hurdles,,,,
Andrew Selby,Great Britain,23,169,,M,12/25/1988,Boxing,Men's Fly (52kg),,,,
Andrew Simpson,Great Britain,35,185,103,M,12/17/1976,Sailing,Men's Star,YES,,0.5,
Andrew Tennant,Great Britain,25,192,79,M,03/09/1987,Cycling - Track,Men's Team Pursuit,,,,
Andrew Triggs Hodge,Great Britain,33,192,100,M,03/03/1979,Rowing,Men's Four,YES,0.25,,
Andrew Willis,Great Britain,21,188,85,M,12/03/1990,Swimming,Men's 200m Breaststroke,,,,
Andy Murray,Great Britain,25,188,84,M,5/15/1987,Tennis,Men's Singles; Men's Doubles; Mixed Doubles,YES,1,0.5,
Angela Hannah,Great Britain,26,174,70,F,3/24/1986,Canoe Sprint,Women's Kayak Four (K4) 500m,,,,
