Name,Country,Age,Height (cm),Weight (kg),Sex,Date of birth,Sport,Event,Medal winner?,Gold,Silver,Bronze
Elaine,Brazil,29,168,64,F,11/01/1982,Football,Women's Football,,,,
Jai Bhagwan,India,27,,,M,05/11/1985,Boxing,Men's Light (60kg),,,,
Manoj Kumar,India,25,,,M,12/10/1986,Boxing,Men's Light Welter (64kg),,,,
Vijender,India,26,,,M,10/29/1985,Boxing,Men's Middle (75kg),,,,
A G Kruger,United States of America,33,193,125,M,2/18/1979,Athletics,Men's Hammer Throw,,,,
A Lam Shin,Republic of Korea,25,167,57,F,9/23/1986,Fencing,Women's Individual Epee; Women's Team Epee,YES,,0.5,
Aaron Brown,Canada,20,198,79,M,5/27/1992,Athletics,Men's 200m,,,,
Aaron Sarmiento,Spain,25,180,72,M,8/26/1986,Sailing,Men's 470,,,,
Aaron Younger,Australia,20,193,100,M,9/25/1991,Water Polo,Men's Water Polo,,,,
Aauri Lorena Bokesa,Spain,23,183,71,F,12/14/1988,Athletics,Women's 400m,,,,
Abbas Alqaisoum,Saudi Arabia,31,,94,M,10/31/1980,Weightlifting,Men's 94kg,,,,
Abbos Atoev,Uzbekistan,26,186,,M,06/07/1986,Boxing,Men's Middle (75kg),YES,,,1
Abby Bishop,Australia,23,189,85,F,11/29/1988,Basketball,Women's Basketball,,,,
Abby Wambach,United States of America,32,178,81,F,06/02/1980,Football,Women's Football,YES,0.09,,
Abdalaati Iguider,Morocco,25,173,57,M,3/25/1987,Athletics,Men's 1500m; Men's 5000m,YES,,,1
Abdelali Daraa,Morocco,22,,,M,4/25/1990,Boxing,Men's Light Fly (49kg),,,,
Abdelatif Noussir,Morocco,22,174,70,M,2/20/1990,Football,Men's Football,,,,
Abdelaziz Barrada,Morocco,23,180,74,M,6/19/1989,Football,Men's Football,,,,
Abdelaziz Merzougui,Spain,20,175,62,M,8/30/1991,Athletics,Men's 3000m Steeplechase,,,,
Abdelaziz Sanqour Almazam,United Arab Emirates,23,182,63,M,05/07/1989,Football,Men's Football,,,,
Abdelhafid Benchabla,Algeria,25,180,,M,9/26/1986,Boxing,Men's Light Heavy (81kg),,,,
Abdelhak Aatakni,Morocco,24,,,M,02/09/1988,Boxing,Men's Light Welter (64kg),,,,
Abdelhamid El Kaoutari,Morocco,22,178,72,M,3/17/1990,Football,Men's Football,,,,
Abdelkader Chadi,Algeria,25,175,,M,12/12/1986,Boxing,Men's Light (60kg),,,,
Abdelkarim El Haouari,Morocco,18,171,,M,12/19/1993,Fencing,Men's Individual Epee,,,,
Abdellatif Meftah,France,30,173,59,M,01/03/1982,Athletics,Men's Marathon,,,,
Abdelrahman Ahmed,Egypt,23,176,,M,10/07/1988,Taekwondo,Men's -80kg,,,,
Abdelrahman Eltrabily,Egypt,22,190,120,M,09/07/1989,Wrestling,Men's 120kg Greco-Roman,,,,
Abderrahime Bouramdane,Morocco,34,170,58,M,01/01/1978,Athletics,Men's Marathon,,,,
Abderrazak Houya,Tunisia,25,177,,M,2/20/1987,Boxing,Men's Light Welter (64kg),,,,
Abdihakem Abdirahman,United States of America,35,180,61,M,01/01/1977,Athletics,Men's Marathon,,,,
Abdou Omar Abdou Ahmed,Egypt,23,172,66,M,2/22/1989,Wrestling,Men's 66kg Freestyle,,,,
Abdoulaye Ba,Senegal,21,197,79,M,01/01/1991,Football,Men's Football,,,,
Abdoulaye Sane,Senegal,19,177,73,M,8/15/1992,Football,Men's Football,,,,
Abdourahman Osman,Djibouti,18,,,M,12/07/1993,Swimming,Men's 50m Freestyle,,,,
Abdouraim Haroun,Chad,20,174,72,M,04/12/1992,Athletics,Men's 100m,,,,
Abdul Buhari,Great Britain,30,192,125,M,6/26/1982,Athletics,Men's Discus Throw,,,,
Abdul Haseem Khan,Pakistan,25,,,M,7/15/1987,Hockey,Men's Hockey,,,,
Abdulaziz Hussain Al Balooshi,United Arab Emirates,21,178,66,M,09/10/1990,Football,Men's Football,,,,
Abdulaziz Ladan Mohammed,Saudi Arabia,21,,,M,01/07/1991,Athletics,Men's 800m,,,,
Abdulkhakim Shapiyev,Kazakhstan,28,174,74,M,12/04/1983,Wrestling,Men's 74kg Freestyle,,,,
Abdullah Abdulaziz Aljoud,Saudi Arabia,37,,,M,07/10/1975,Athletics,Men's 5000m,,,,
Abdullah Alrashidi,Kuwait,48,180,95,M,8/21/1963,Shooting,Men's Skeet,,,,
Abdullah Waleed Sharbatly,Saudi Arabia,29,,,M,9/21/1982,Equestrian,Individual Jumping; Team Jumping; SULTAN,YES,,,0.25
Abdusalam Gadisov,Russian Federation,23,178,84,M,3/26/1989,Wrestling,Men's 96kg Freestyle,,,,
Abeba Aregawi,Ethiopia,22,170,52,F,07/05/1990,Athletics,Women's 1500m,,,,
Abel Hernandez,Uruguay,21,185,73,M,08/08/1990,Football,Men's Football,,,,
Abel Kiprop Mutai,Kenya,23,187,73,M,10/02/1988,Athletics,Men's 3000m Steeplechase,YES,,,1
Abel Kirui,Kenya,30,,,M,04/06/1982,Athletics,Men's Marathon,,,,
Abhinav Bindra,India,29,,,M,9/28/1982,Shooting,Men's 10m Air Rifle,,,,
Abigail Edmonds,Great Britain,21,172,70,F,9/26/1990,Canoe Sprint,Women's Kayak Single (K1) 500m; Women's Kayak Double (K2) 500m,,,,
Abigail Johnston,United States of America,22,165,61,F,11/16/1989,Diving,Women's Synchronised 3m Springboard,YES,,0.5,
Abigail Walker,Great Britain,30,175,72,F,1/29/1982,Hockey,Women's Hockey,,,,
Abigel Joo,Hungary,21,183,78,F,08/06/1990,Judo,Women's -78kg,,,,
Aboubakr Seddik Lbida,Morocco,32,,,M,1/26/1980,Boxing,Men's Bantam (56kg),,,,
Abouhalima Abouhalima,Egypt,18,153,55,M,11/19/1993,Wrestling,Men's 55kg Greco-Roman,,,,
Abraham Acevedo,Paraguay,22,,65,M,09/12/1989,Judo,Men's -66kg,,,,
Abraham Kiplimo,Uganda,23,165,52,M,4/14/1989,Athletics,Men's 5000m,,,,
Abraham Kiprotich,France,26,177,62,M,8/17/1985,Athletics,Men's Marathon,,,,
Abrar Osman Adem,Eritrea,18,168,58,M,01/01/1994,Athletics,Men's 5000m,,,,
Abubaker Kaki,Sudan,23,176,63,M,6/21/1989,Athletics,Men's 800m,,,,
Adam Brown,Great Britain,23,196,95,M,1/16/1989,Swimming,Men's 50m Freestyle; Men's 100m Freestyle,,,,
Adam Cwalina,Poland,27,186,82,M,1/26/1985,Badminton,Men's Doubles,,,,
Adam Gemili,Great Britain,18,,,M,10/06/1993,Athletics,Men's 100m; Men's 4 x 100m Relay,,,,
Adam Gibson,Australia,25,190,95,M,10/30/1986,Basketball,Men's Basketball,,,,
Adam Johnson,Great Britain,25,178,63,M,7/14/1987,Football,Men's Football,,,,
Adam Korol,Poland,37,193,93,M,8/20/1974,Rowing,Men's Quadruple Sculls,,,,
Adam Kszczot,Poland,22,178,68,M,09/02/1989,Athletics,Men's 800m,,,,
Adam Marosi,Hungary,28,181,75,M,7/26/1984,Modern Pentathlon,Men's Modern Pentathlon,,,,
Adam McGeorge,New Zealand,23,181,80,M,3/30/1989,Football,Men's Football,,,,
Adam Nolan,Ireland,25,184,,M,03/11/1987,Boxing,Men's Welter (69kg),,,,
Adam Okruashvili,Georgia,23,193,120,M,01/01/1989,Judo,Men's +100kg,,,,
Adam Pattantyus,Hungary,33,175,71,M,10/10/1978,Table Tennis,Men's Singles,,,,
Adam Rutter,Australia,25,173,60,M,12/24/1986,Athletics,Men's 20km Race Walk,,,,
Adam Scholefield,Great Britain,27,189,99,M,5/24/1985,Water Polo,Men's Water Polo,,,,
Adam Skrodzki,Poland,28,183,77,M,12/23/1983,Fencing,Men's Individual Sabre,,,,
Adam Steinmetz,Hungary,31,198,104,M,08/11/1980,Water Polo,Men's Water Polo,,,,
Adam Thomas,New Zealand,20,189,80,M,04/01/1992,Football,Men's Football,,,,
Adam van Koeverden,Canada,30,182,85,M,1/29/1982,Canoe Sprint,Men's Kayak Single (K1) 1000m,YES,,1,
Adam Vella,Australia,41,178,91,M,06/12/1971,Shooting,Men's Trap,,,,
Adam White,Australia,22,203,90,M,11/08/1989,Volleyball,Men's Volleyball,,,,
Adam Wright,United States of America,35,192,88,M,05/04/1977,Water Polo,Men's Water Polo,,,,
Adama Ouedraogo,Burkina Faso,25,177,72,M,04/03/1987,Swimming,Men's 50m Freestyle,,,,
Adaveeshaiah P. Gagan Ullalmath,India,20,,,M,01/08/1992,Swimming,Men's 1500m Freestyle,,,,
Ade Alleyne-Forte,Trinidad and Tobago,23,180,73,M,10/11/1988,Athletics,Men's 4 x 400m Relay,,,,
Ade Dagunduro,Nigeria,26,195,,M,5/22/1986,Basketball,Men's Basketball,,,,
Adela Sykorova,Czech Republic,25,171,57,F,02/05/1987,Shooting,Women's 10m Air Rifle; Women's 50m Rifle 3 Positions,YES,,,1
Adelheid Morath,Germany,28,164,52,F,08/02/1984,Cycling - Mountain Bike,Women's Cross-country,,,,
Adelina Cojocariu,Romania,23,185,79,F,09/04/1988,Rowing,Women's Eight,,,,
Adelinde Cornelissen,Netherlands,33,170,56,F,07/08/1979,Equestrian,Individual Dressage; Team Dressage; PARZIVAL,YES,,1,0.33
Adem Kilicci,Turkey,26,184,,M,4/18/1986,Boxing,Men's Middle (75kg),,,,
Adenizia Silva,Brazil,25,183,62,F,12/18/1986,Volleyball,Women's Volleyball,,,,
Adil Annani,Morocco,32,172,56,M,6/30/1980,Athletics,Men's Marathon,,,,
Adil Jelloul,Morocco,30,173,62,M,7/14/1982,Cycling - Road,Men's Road Race,,,,
Adilbek Niyazymbetov,Kazakhstan,23,182,,M,5/19/1989,Boxing,Men's Light Heavy (81kg),,,,
Admir Mehmedi,Switzerland,21,183,75,M,3/16/1991,Football,Men's Football,,,,
Adnan Taess Akkar,Iraq,32,165,78,M,3/24/1980,Athletics,Men's 800m,,,,
Adnane Tighadouini,Morocco,19,176,70,M,11/30/1992,Football,Men's Football,,,,
Adonia Steryiou,Greece,27,180,59,F,07/07/1985,Athletics,Women's High Jump,,,,
Adonis Tsotras,Greece,22,184,95,M,05/09/1990,Sailing,Men's Star,,,,
Adrian Crisan,Romania,32,185,86,M,05/07/1980,Table Tennis,Men's Singles,,,,
Adrian Gavira Collado,Spain,24,193,90,M,9/17/1987,Beach Volleyball,Men's Beach Volleyball,,,,
Adrian Lopez,Spain,24,183,74,M,01/08/1988,Football,Men's Football,,,,
Adrian Ungur,Romania,27,178,73,M,1/22/1985,Tennis,Men's Singles; Men's Doubles,,,,
Adrian Edward Zielinksi,Poland,23,170,85,M,28/03/1989,Weightlifting,Men's +85kg,YES,1,,
Adriana Aparecida da Silva,Brazil,31,,,F,7/22/1981,Athletics,Women's Marathon,,,,
Adriana Araujo,Brazil,30,169,,F,11/04/1981,Boxing,Women's Light (60kg),YES,,,1
Adriana Kostiw,Brazil,38,170,70,F,3/16/1974,Sailing,Women's Laser Radial,,,,
Adrianti Firdasari,Indonesia,25,170,58,F,12/16/1986,Badminton,Women's Singles,,,,
Adriatik Hoxha,Albania,22,194,130,M,03/09/1990,Athletics,Men's Shot Put,,,,
Adrien Deghelt,Belgium,27,185,77,M,05/10/1985,Athletics,Men's 110m Hurdles,,,,
Adrien Hardy,France,34,197,87,M,7/30/1978,Rowing,Men's Quadruple Sculls,,,,
Adrien Mattenet,France,24,188,75,M,10/15/1987,Table Tennis,Men's Singles,,,,
Adrien Niyonshuti,Rwanda,25,165,68,M,01/02/1987,Cycling - Mountain Bike,Men's Cross-country,,,,
Adrienn Toth,Hungary,21,173,58,F,11/24/1990,Modern Pentathlon,Women's Modern Pentathlon,,,,
Adrienne Iven Mihamle,Cameroon,29,169,70,F,03/09/1983,Football,Women's Football,,,,
Adrienne Lyle,United States of America,27,180,75,F,01/02/1985,Equestrian,Individual Dressage; WIZARD,,,,
Adrienne Martelli,United States of America,24,185,79,F,12/03/1987,Rowing,Women's Quadruple Sculls,YES,,,0.25
Adysangela Moniz,Cape Verde,25,166,105,F,05/09/1987,Judo,Women's +78kg,,,,
Adzo Kpossi,Togo,13,158,53,F,1/25/1999,Swimming,Women's 50m Freestyle,,,,
Afa Ismail,Maldives,18,157,45,F,11/01/1993,Athletics,Women's 100m,,,,
Afanasijs Kuzmins,Latvia,65,178,89,M,3/22/1947,Shooting,Men's 25m Rapid Fire Pistol,,,,
Afef Ben Ismail,Tunisia,18,173,60,F,3/17/1994,Canoe Sprint,Women's Kayak Single (K1) 200m; Women's Kayak Single (K1) 500m,,,,
Afgan Bayramov,Azerbaijan,28,167,69,M,10/14/1983,Weightlifting,Men's 69kg,,,,
Afia Charles,Antigua and Barbuda,20,,,F,7/22/1992,Athletics,Women's 400m,,,,
Afonso Domingos,Portugal,43,174,91,M,7/29/1969,Sailing,Men's Star,,,,
Agata Bednarek,Poland,24,175,57,F,6/28/1988,Athletics,Women's 4 x 400m Relay,,,,
